id,FullName,PlateNumber,CarModel,ExpirationDatestamp,DoNotUseMe
1,"Dorey Berling",ABD-1243,"Truck Xtracab SR5",2019-08-22,22-Aug-2019
2,"Dorey Berling",ABC-1000,Wrangler,2018-06-18,12-Jun-2018
3,"Ofelia Manhood",ABN-2133,Aurora,2018-06-18,18-Jun-2018
4,"Mag Luca",WSE-2921,"Ram Van 1500",2019-08-19,19-Aug-2019
5,"Etienne Winscum",FJD-2312,Wrangler,2019-06-24,24-Jun-2019
6,"Clemmy Skellion",ABS-3823,"Sportvan G30",2019-08-14,14-Aug-2019
7,"Sergio Camier",JSI-3383,GTO,2018-03-30,30-Mar-2018
8,"Annabel Huglin",HHH-1233,Escape,2019-08-01,01-Aug-2019
9,"Moises Gaenor",IAJ-2948,BRZ,2019-02-10,10-Feb-2019
10,"Jobi Kenson",HJJ-3939,Familia,2019-02-17,17-Feb-2019
11,"Justinn Tiltman",EWR-3233,Neon,2018-03-15,15-Mar-2018
12,"Aurie Jeary",PLO-9299,"B-Series Plus",2019-02-21,21-Feb-2019
13,"Templeton Pickthorne",OSI-0009,Raider,2018-03-19,19-Mar-2018
14,"Angelia Tolussi",UFI-2344,"Savana 3500",2018-08-25,25-Aug-2018
15,"Remy MacAnespie",FGG-3322,Tiburon,2019-02-21,21-Feb-2019
16,"Gloriane Macey",OKI-3948,X3,2018-08-16,16-Aug-2018
17,"Hulda Dron",IIU-2931,Colorado,2019-08-08,08-Aug-2019
18,"Bebe Waddilow",PPP-2456,Acadia,2018-02-25,25-Feb-2018
19,"Cammie Casewell",RIR-2929,"Silverado 2500",2019-12-21,21-Dec-2019
20,"Alisha Capelle",OIU-0938,F150,2017-12-27,27-Dec-2017
